date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2018-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",204447,818652.03,0,0
2018-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",210944,759881.48,0,0
2018-11-01,Y62,"NORTH WEST COMMISSIONING REGION",277605,1068952.79,0,0
2018-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",287220,1320177.65,0,0
2018-11-01,Y56,"LONDON COMMISSIONING REGION",315460,1267357.92,0,0
2018-11-01,Y60,"MIDLANDS COMMISSIONING REGION",400437,1715253.27,0,0
2018-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",415908,1397891.08,0,0
2018-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",204377,810881.78,0,0
2018-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",210043,761616.07,0,0
2018-12-01,Y62,"NORTH WEST COMMISSIONING REGION",271104,1036516.32,0,0
2018-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",288195,1319118.6,0,0
2018-12-01,Y56,"LONDON COMMISSIONING REGION",308558,1225988.98,0,0
2018-12-01,Y60,"MIDLANDS COMMISSIONING REGION",395239,1694962.44,0,0
2018-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",412001,1380563.41,0,0
2019-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",207574,829121.5,0,0
2019-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",213162,780648.84,0,0
2019-01-01,Y62,"NORTH WEST COMMISSIONING REGION",279670,1084492.91,0,0
2019-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",295661,1368481.71,0,0
2019-01-01,Y56,"LONDON COMMISSIONING REGION",324850,1320909.26,0,0
2019-01-01,Y60,"MIDLANDS COMMISSIONING REGION",410906,1784291.87,0,0
2019-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",425132,1446672.17,0,0
2019-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",189474,764528.16,0,0
