date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2018-11-01,Y56,"LONDON COMMISSIONING REGION",0,0,0,0
2018-11-01,Y60,"MIDLANDS COMMISSIONING REGION",1,252.23,0,0
2018-11-01,Y62,"NORTH WEST COMMISSIONING REGION",1,252.25,0,0
2018-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",7,3026.92,0,0
2018-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",8,2696.14,0,0
2018-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",8,2126.02,0,0
2018-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",29,7567.45,0,0
2018-12-01,Y56,"LONDON COMMISSIONING REGION",0,0,0,0
2018-12-01,Y60,"MIDLANDS COMMISSIONING REGION",2,874.24,0,0
2018-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",3,757.1,0,0
2018-12-01,Y62,"NORTH WEST COMMISSIONING REGION",4,1009.47,0,0
2018-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",7,3785.39,0,0
2018-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",12,4593.17,0,0
2018-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",31,8075.78,0,0
2019-01-01,Y56,"LONDON COMMISSIONING REGION",0,0,0,0
2019-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",2,504.72,0,0
2019-01-01,Y62,"NORTH WEST COMMISSIONING REGION",3,757.07,0,0
2019-01-01,Y60,"MIDLANDS COMMISSIONING REGION",4,2336.54,0,0
2019-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",6,1835.68,0,0
2019-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",6,2523.54,0,0
2019-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",38,9841.93,0,0
2019-02-01,Y56,"LONDON COMMISSIONING REGION",0,0,0,0
2019-02-01,Y60,"MIDLANDS COMMISSIONING REGION",0,0,0,0
2019-02-01,Y62,"NORTH WEST COMMISSIONING REGION",1,252.49,0,0
2019-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",2,504.98,0,0
2019-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",6,1455.42,0,0
2019-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",9,2777.33,0,0
