Age,Males,Females,All,Region
0,13087,12366,25453,North East
1,13132,12440,25572,North East
2,13432,12829,26261,North East
3,14130,13444,27574,North East
4,14451,13730,28181,North East
5,14865,14394,29259,North East
6,15463,14568,30031,North East
7,15279,14408,29687,North East
8,15732,14628,30360,North East
9,16136,15067,31203,North East
10,16294,15474,31768,North East
11,16622,15569,32191,North East
12,16231,15372,31603,North East
13,15915,15052,30967,North East
14,16099,15504,31603,North East
15,15472,14821,30293,North East
16,15312,14595,29907,North East
17,15010,14328,29338,North East
18,15407,14751,30158,North East
19,18012,17069,35081,North East
20,17987,17445,35432,North East
21,17372,16569,33941,North East
22,16742,15541,32283,North East
23,16155,15379,31534,North East
24,16255,15434,31689,North East
25,16500,16268,32768,North East
26,15955,15819,31774,North East
27,16230,16367,32597,North East
28,16055,16793,32848,North East
29,16379,16870,33249,North East
30,16972,17740,34712,North East
31,17000,17659,34659,North East
32,16470,17587,34057,North East
33,16453,17524,33977,North East
34,16846,18139,34985,North East
35,16677,17889,34566,North East
36,16965,17847,34812,North East
37,16555,17675,34230,North East
38,16114,16893,33007,North East
39,15951,16834,32785,North East
40,15741,16794,32535,North East
41,15907,16980,32887,North East
42,16211,17031,33242,North East
43,15844,16323,32167,North East
44,14151,14607,28758,North East
45,13436,14101,27537,North East
46,14295,15174,29469,North East
47,14903,15153,30056,North East
48,14759,15692,30451,North East
49,15897,16519,32416,North East
50,17115,17926,35041,North East
51,18139,18945,37084,North East
52,17210,18169,35379,North East
53,17681,18489,36170,North East
54,17952,19008,36960,North East
55,18489,19383,37872,North East
56,18678,19626,38304,North East
57,19241,19820,39061,North East
58,18751,19723,38474,North East
59,18692,19765,38457,North East
60,18741,19427,38168,North East
61,17796,18695,36491,North East
62,17217,18160,35377,North East
63,17232,18224,35456,North East
64,16943,17821,34764,North East
65,16281,16988,33269,North East
66,15696,16341,32037,North East
67,14925,15574,30499,North East
68,14793,15366,30159,North East
69,14432,15195,29627,North East
70,13676,14623,28299,North East
71,13514,14506,28020,North East
72,13400,14708,28108,North East
73,13646,14784,28430,North East
74,13976,15457,29433,North East
75,15042,16459,31501,North East
76,10838,12146,22984,North East
77,10204,11509,21713,North East
78,9696,10994,20690,North East
79,8119,9858,17977,North East
80,7344,8841,16185,North East
81,6484,8145,14629,North East
82,6302,8372,14674,North East
83,6043,7915,13958,North East
84,5417,7613,13030,North East
85,4894,6958,11852,North East
86,4048,6022,10070,North East
87,3579,5563,9142,North East
88,3007,4577,7584,North East
89,2412,4103,6515,North East
90+,7639,16045,23684,North East
0,40315,38642,78957,North West
1,39988,38380,78368,North West
2,41620,40005,81625,North West
3,42677,41060,83737,North West
4,43168,40898,84066,North West
5,44660,42314,86974,North West
6,45858,43584,89442,North West
7,45509,43287,88796,North West
8,45595,43936,89531,North West
9,47058,44507,91565,North West
10,47669,45818,93487,North West
11,47960,45871,93831,North West
12,47575,44946,92521,North West
13,47199,44751,91950,North West
14,47570,45048,92618,North West
15,45635,43084,88719,North West
16,45496,42571,88067,North West
17,45522,42453,87975,North West
18,45033,42600,87633,North West
19,46468,44902,91370,North West
20,46570,46652,93222,North West
21,46066,45639,91705,North West
22,46147,44843,90990,North West
23,47267,47089,94356,North West
24,46800,46431,93231,North West
25,47863,48170,96033,North West
26,46224,46778,93002,North West
27,47074,48090,95164,North West
28,47890,49504,97394,North West
29,48391,50335,98726,North West
30,49749,51974,101723,North West
31,51050,53301,104351,North West
32,50132,52749,102881,North West
33,49677,52734,102411,North West
34,50397,54085,104482,North West
35,48514,52085,100599,North West
36,49425,52115,101540,North West
37,49495,51905,101400,North West
38,47485,49752,97237,North West
39,47193,49785,96978,North West
40,46717,48888,95605,North West
41,46762,48593,95355,North West
42,46874,48949,95823,North West
43,44907,46508,91415,North West
44,41603,42789,84392,North West
45,40737,41644,82381,North West
46,42234,43078,85312,North West
47,43674,44061,87735,North West
48,43856,45016,88872,North West
49,46136,47150,93286,North West
50,48820,50025,98845,North West
51,50920,52141,103061,North West
52,49637,50780,100417,North West
53,51273,52209,103482,North West
54,50356,51539,101895,North West
55,51195,51915,103110,North West
56,50639,52144,102783,North West
57,51362,53006,104368,North West
58,51151,52207,103358,North West
59,49839,51140,100979,North West
60,48826,50868,99694,North West
61,47102,48266,95368,North West
62,45157,46314,91471,North West
63,43510,44780,88290,North West
64,42497,43263,85760,North West
65,40171,42124,82295,North West
66,38521,40069,78590,North West
67,36490,38448,74938,North West
68,36434,38137,74571,North West
69,36065,37421,73486,North West
70,34186,36263,70449,North West
71,34178,36826,71004,North West
72,34060,37231,71291,North West
73,34832,37261,72093,North West
74,35853,39667,75520,North West
75,38334,42572,80906,North West
76,27914,31231,59145,North West
77,25993,29943,55936,North West
78,25651,29497,55148,North West
79,22957,27133,50090,North West
80,19718,24207,43925,North West
81,17416,21854,39270,North West
82,16684,21564,38248,North West
83,15785,20652,36437,North West
84,14294,19382,33676,North West
85,12460,17487,29947,North West
86,10843,15780,26623,North West
87,9190,13786,22976,North West
88,7355,11863,19218,North West
89,6304,10125,16429,North West
90+,19944,42244,62188,North West
0,29131,27630,56761,Yorkshire & the Humber
1,29171,27637,56808,Yorkshire & the Humber
2,30694,29407,60101,Yorkshire & the Humber
3,31061,29890,60951,Yorkshire & the Humber
4,31229,30404,61633,Yorkshire & the Humber
5,32723,31009,63732,Yorkshire & the Humber
6,33532,31715,65247,Yorkshire & the Humber
7,33053,31858,64911,Yorkshire & the Humber
8,33310,31751,65061,Yorkshire & the Humber
9,34301,32671,66972,Yorkshire & the Humber
10,34851,33790,68641,Yorkshire & the Humber
11,35132,33347,68479,Yorkshire & the Humber
12,34913,33291,68204,Yorkshire & the Humber
13,34727,32943,67670,Yorkshire & the Humber
14,34594,32843,67437,Yorkshire & the Humber
15,33369,31785,65154,Yorkshire & the Humber
16,32960,31225,64185,Yorkshire & the Humber
17,33746,31360,65106,Yorkshire & the Humber
18,34020,31786,65806,Yorkshire & the Humber
19,35680,34637,70317,Yorkshire & the Humber
20,36138,34666,70804,Yorkshire & the Humber
21,34975,34226,69201,Yorkshire & the Humber
22,35112,34260,69372,Yorkshire & the Humber
23,35456,34465,69921,Yorkshire & the Humber
24,35133,35294,70427,Yorkshire & the Humber
25,34856,35145,70001,Yorkshire & the Humber
26,34097,34118,68215,Yorkshire & the Humber
27,34225,35204,69429,Yorkshire & the Humber
28,35415,36561,71976,Yorkshire & the Humber
29,35625,36867,72492,Yorkshire & the Humber
30,36472,37899,74371,Yorkshire & the Humber
31,37035,38626,75661,Yorkshire & the Humber
32,36426,38324,74750,Yorkshire & the Humber
33,35701,37971,73672,Yorkshire & the Humber
34,36228,39391,75619,Yorkshire & the Humber
35,35524,38346,73870,Yorkshire & the Humber
36,35868,37379,73247,Yorkshire & the Humber
37,35132,37227,72359,Yorkshire & the Humber
38,34331,35837,70168,Yorkshire & the Humber
39,34119,35713,69832,Yorkshire & the Humber
40,34038,35346,69384,Yorkshire & the Humber
41,34177,35794,69971,Yorkshire & the Humber
42,34384,35470,69854,Yorkshire & the Humber
43,32884,33666,66550,Yorkshire & the Humber
44,30155,31019,61174,Yorkshire & the Humber
45,29926,30155,60081,Yorkshire & the Humber
46,31056,31374,62430,Yorkshire & the Humber
47,31405,32316,63721,Yorkshire & the Humber
48,32275,33107,65382,Yorkshire & the Humber
49,34456,35010,69466,Yorkshire & the Humber
50,36004,36922,72926,Yorkshire & the Humber
51,37804,39031,76835,Yorkshire & the Humber
52,36910,37918,74828,Yorkshire & the Humber
53,37361,38824,76185,Yorkshire & the Humber
54,37619,38591,76210,Yorkshire & the Humber
55,37843,38437,76280,Yorkshire & the Humber
56,37208,38297,75505,Yorkshire & the Humber
57,37541,38370,75911,Yorkshire & the Humber
58,37154,38166,75320,Yorkshire & the Humber
59,36367,37592,73959,Yorkshire & the Humber
60,35774,36762,72536,Yorkshire & the Humber
