date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2018-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",55822,57935.48,0,0
2018-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",59799,64318.53,0,0
2018-11-01,Y56,"LONDON COMMISSIONING REGION",63428,70222.33,0,0
2018-11-01,Y62,"NORTH WEST COMMISSIONING REGION",68572,65210.37,0,0
2018-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",75127,80367.31,0,0
2018-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",83800,83946.67,0,0
2018-11-01,Y60,"MIDLANDS COMMISSIONING REGION",100050,102767.64,0,0
2018-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",55556,58240.98,0,0
2018-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",59687,64485.99,0,0
2018-12-01,Y56,"LONDON COMMISSIONING REGION",61696,67760.47,0,0
2018-12-01,Y62,"NORTH WEST COMMISSIONING REGION",67117,63433.33,0,0
2018-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",75127,80888.82,0,0
2018-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",83139,83253.73,0,0
2018-12-01,Y60,"MIDLANDS COMMISSIONING REGION",98212,102694.4,0,0
2019-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",55719,58476.34,0,0
2019-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",59606,65621.94,0,0
2019-01-01,Y56,"LONDON COMMISSIONING REGION",64724,73589.78,0,0
2019-01-01,Y62,"NORTH WEST COMMISSIONING REGION",67512,65116.55,0,0
2019-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",75787,83684.42,0,0
2019-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",83644,85667.45,0,0
2019-01-01,Y60,"MIDLANDS COMMISSIONING REGION",100182,107001.03,0,0
2019-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",50183,53661.59,0,0
2019-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",54074,59587.62,0,0
2019-02-01,Y56,"LONDON COMMISSIONING REGION",57638,64595.95,0,0
2019-02-01,Y62,"NORTH WEST COMMISSIONING REGION",61519,59928.18,0,0
2019-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",68267,74536.52,0,0
2019-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",75668,76734.34,0,0
2019-02-01,Y60,"MIDLANDS COMMISSIONING REGION",90871,97253.14,0,0
2019-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",54324,58644.77,0,0
2019-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",58366,63977.44,0,0
2019-03-01,Y56,"LONDON COMMISSIONING REGION",61435,69364.58,0,0
2019-03-01,Y62,"NORTH WEST COMMISSIONING REGION",65455,63725.84,0,0
2019-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",73819,81892.39,0,0
