date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2018-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",52,5521.29,0,0
2018-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",72,9482.62,0,0
2018-11-01,Y62,"NORTH WEST COMMISSIONING REGION",74,8584.72,0,0
2018-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",92,12108.93,0,0
2018-11-01,Y56,"LONDON COMMISSIONING REGION",99,13082.04,0,0
2018-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",193,17964.05,0,0
2018-11-01,Y60,"MIDLANDS COMMISSIONING REGION",194,25914.61,0,0
2018-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",58,5836.44,0,0
2018-12-01,Y62,"NORTH WEST COMMISSIONING REGION",68,7751.58,0,0
2018-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",83,11358.42,0,0
2018-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",88,11899.16,0,0
2018-12-01,Y56,"LONDON COMMISSIONING REGION",105,12273.87,0,0
2018-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",189,16762.44,0,0
2018-12-01,Y60,"MIDLANDS COMMISSIONING REGION",191,25156.91,0,0
2019-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",65,7328.55,0,0
2019-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",76,10681.67,0,0
2019-01-01,Y62,"NORTH WEST COMMISSIONING REGION",78,8217.82,0,0
2019-01-01,Y56,"LONDON COMMISSIONING REGION",92,11757.25,0,0
2019-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",98,13385.31,0,0
2019-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",177,17673.57,0,0
2019-01-01,Y60,"MIDLANDS COMMISSIONING REGION",228,30038.12,0,0
2019-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",50,5024.92,0,0
2019-02-01,Y62,"NORTH WEST COMMISSIONING REGION",62,7373.04,0,0
2019-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",76,9327.14,0,0
2019-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",85,10912.72,0,0
2019-02-01,Y56,"LONDON COMMISSIONING REGION",106,12257.41,0,0
2019-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",142,14520.42,0,0
2019-02-01,Y60,"MIDLANDS COMMISSIONING REGION",190,24973.99,0,0
2019-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",59,7006.88,0,0
2019-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",69,9200.57,0,0
2019-03-01,Y62,"NORTH WEST COMMISSIONING REGION",71,8164.36,0,0
2019-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",83,10732.32,0,0
2019-03-01,Y56,"LONDON COMMISSIONING REGION",107,12403,0,0
2019-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",160,15267.96,0,0
2019-03-01,Y60,"MIDLANDS COMMISSIONING REGION",206,27252.92,0,0
2019-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",51,5205.98,0,0
2019-04-01,Y62,"NORTH WEST COMMISSIONING REGION",64,7498.55,0,0
2019-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",71,9958.23,0,0
2019-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",89,12272.9,0,0
2019-04-01,Y56,"LONDON COMMISSIONING REGION",95,12075.5,0,0
2019-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",160,16285.89,0,0
2019-04-01,Y60,"MIDLANDS COMMISSIONING REGION",201,28069.03,0,0
2019-05-01,Y58,"SOUTH WEST COMMISSIONING REGION",51,5997.97,0,0
2019-05-01,Y62,"NORTH WEST COMMISSIONING REGION",70,7700.82,0,0
2019-05-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",80,10483.21,0,0
2019-05-01,Y59,"SOUTH EAST COMMISSIONING REGION",82,10289.32,0,0
2019-05-01,Y56,"LONDON COMMISSIONING REGION",113,13033.42,0,0
2019-05-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",166,17288.59,0,0
2019-05-01,Y60,"MIDLANDS COMMISSIONING REGION",226,32315.21,0,0
2019-06-01,Y58,"SOUTH WEST COMMISSIONING REGION",42,4158.8,0,0
2019-06-01,Y62,"NORTH WEST COMMISSIONING REGION",64,8063,0,0
2019-06-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",78,10432.43,0,0
2019-06-01,Y59,"SOUTH EAST COMMISSIONING REGION",79,10554.79,0,0
2019-06-01,Y56,"LONDON COMMISSIONING REGION",95,12365.32,0,0
2019-06-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",155,14928.42,0,0
2019-06-01,Y60,"MIDLANDS COMMISSIONING REGION",196,26565.03,0,0
2019-07-01,Y58,"SOUTH WEST COMMISSIONING REGION",55,6181.64,0,0
2019-07-01,Y62,"NORTH WEST COMMISSIONING REGION",56,6932.79,0,0
2019-07-01,Y59,"SOUTH EAST COMMISSIONING REGION",68,9301,0,0
2019-07-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",80,10309.83,0,0
2019-07-01,Y56,"LONDON COMMISSIONING REGION",110,11756.9,0,0
2019-07-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",159,16719.36,0,0
2019-07-01,Y60,"MIDLANDS COMMISSIONING REGION",209,28320.91,0,0
2019-08-01,Y58,"SOUTH WEST COMMISSIONING REGION",46,4987.73,0,0
2019-08-01,Y62,"NORTH WEST COMMISSIONING REGION",60,7383.91,0,0
2019-08-01,Y59,"SOUTH EAST COMMISSIONING REGION",71,10194.9,0,0
2019-08-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",92,11630.65,0,0
2019-08-01,Y56,"LONDON COMMISSIONING REGION",105,12547.98,0,0
2019-08-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",156,14739.61,0,0
2019-08-01,Y60,"MIDLANDS COMMISSIONING REGION",247,34309.59,0,0
2019-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",44,4234.18,0,0
2019-09-01,Y62,"NORTH WEST COMMISSIONING REGION",55,6685.8,0,0
2019-09-01,Y59,"SOUTH EAST COMMISSIONING REGION",68,9758.3,0,0
2019-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",73,8779.09,0,0
2019-09-01,Y56,"LONDON COMMISSIONING REGION",94,10034.96,0,0
2019-09-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",159,15394.11,0,0
2019-09-01,Y60,"MIDLANDS COMMISSIONING REGION",204,27831.79,0,0
2019-10-01,Y58,"SOUTH WEST COMMISSIONING REGION",46,5093,0,0
2019-10-01,Y59,"SOUTH EAST COMMISSIONING REGION",61,8497.23,0,0
2019-10-01,Y62,"NORTH WEST COMMISSIONING REGION",66,7620.32,0,0
2019-10-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",85,10795.46,0,0
2019-10-01,Y56,"LONDON COMMISSIONING REGION",140,16049.27,0,0
2019-10-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",156,16657.71,0,0
2019-10-01,Y60,"MIDLANDS COMMISSIONING REGION",228,32410.74,0,0
2019-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",39,4589.9,0,0
2019-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",62,7903.37,0,0
2019-11-01,Y62,"NORTH WEST COMMISSIONING REGION",64,6959.58,0,0
2019-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",67,8812.23,0,0
2019-11-01,Y56,"LONDON COMMISSIONING REGION",91,9993.79,0,0
2019-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",145,14829.16,0,0
2019-11-01,Y60,"MIDLANDS COMMISSIONING REGION",226,32160.79,0,0
2019-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",41,5266.64,0,0
2019-12-01,Y62,"NORTH WEST COMMISSIONING REGION",59,6745,0,0
2019-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",62,8950.03,0,0
2019-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",66,8498.75,0,0
2019-12-01,Y56,"LONDON COMMISSIONING REGION",107,10556.56,0,0
2019-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",136,14569.21,0,0
2019-12-01,Y60,"MIDLANDS COMMISSIONING REGION",231,31973.94,0,0
2020-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",42,5009,0,0
2020-01-01,Y62,"NORTH WEST COMMISSIONING REGION",62,8029.81,0,0
2020-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",68,9963.36,0,0
2020-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",76,10124.2,0,0
2020-01-01,Y56,"LONDON COMMISSIONING REGION",117,14572.71,0,0
2020-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",154,18391.91,0,0
2020-01-01,Y60,"MIDLANDS COMMISSIONING REGION",233,33346.38,0,0
2020-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",43,4564.25,0,0
2020-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",58,8150.34,0,0
2020-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",60,8152.98,0,0
2020-02-01,Y62,"NORTH WEST COMMISSIONING REGION",62,6075.57,0,0
2020-02-01,Y56,"LONDON COMMISSIONING REGION",98,9448.49,0,0
2020-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",102,11604.11,0,0
2020-02-01,Y60,"MIDLANDS COMMISSIONING REGION",201,27961.67,0,0
2020-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",32,4099.43,0,0
2020-03-01,Y62,"NORTH WEST COMMISSIONING REGION",64,7491.4,0,0
2020-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",65,9042.57,0,0
2020-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",78,11771.63,0,0
2020-03-01,Y56,"LONDON COMMISSIONING REGION",98,11877.87,0,0
2020-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",145,16914.66,0,0
2020-03-01,Y60,"MIDLANDS COMMISSIONING REGION",229,33754.89,0,0
2020-04-01,Y62,"NORTH WEST COMMISSIONING REGION",60,6474.1,0,0
2020-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",65,8157.47,0,0
