date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2018-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",65879,274981.37,0,0
2018-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",67368,171735.25,0,0
2018-11-01,Y56,"LONDON COMMISSIONING REGION",69690,136903.5,0,0
2018-11-01,Y62,"NORTH WEST COMMISSIONING REGION",77135,153095.43,0,0
2018-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",88469,518305.81,0,0
2018-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",101359,298549.68,0,0
2018-11-01,Y60,"MIDLANDS COMMISSIONING REGION",113063,256163.74,0,0
2018-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",65564,265277.67,0,0
2018-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",67063,174135.33,0,0
2018-12-01,Y56,"LONDON COMMISSIONING REGION",67824,134427.44,0,0
2018-12-01,Y62,"NORTH WEST COMMISSIONING REGION",75477,151272.31,0,0
2018-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",88163,496383.46,0,0
2018-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",100384,327352.68,0,0
2018-12-01,Y60,"MIDLANDS COMMISSIONING REGION",110935,254413.24,0,0
2019-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",65965,302649.01,0,0
2019-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",67194,185459.24,0,0
2019-01-01,Y56,"LONDON COMMISSIONING REGION",70931,145667.04,0,0
2019-01-01,Y62,"NORTH WEST COMMISSIONING REGION",75910,155824.45,0,0
2019-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",89317,560259.63,0,0
2019-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",101426,356661.69,0,0
2019-01-01,Y60,"MIDLANDS COMMISSIONING REGION",113056,282571.4,0,0
2019-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",59245,259525.98,0,0
2019-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",60856,163648.71,0,0
2019-02-01,Y56,"LONDON COMMISSIONING REGION",63190,131834.71,0,0
2019-02-01,Y62,"NORTH WEST COMMISSIONING REGION",69211,143937.63,0,0
2019-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",80319,489849.2,0,0
2019-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",92009,339810.14,0,0
2019-02-01,Y60,"MIDLANDS COMMISSIONING REGION",102387,255418.35,0,0
2019-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",64232,379384.92,0,0
2019-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",65740,242456.87,0,0
2019-03-01,Y56,"LONDON COMMISSIONING REGION",67416,197910.99,0,0
2019-03-01,Y62,"NORTH WEST COMMISSIONING REGION",73700,241751.55,0,0
2019-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",86895,650744.86,0,0
2019-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",98144,476839.01,0,0
2019-03-01,Y60,"MIDLANDS COMMISSIONING REGION",109086,380507.95,0,0
2019-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",62649,353970.58,0,0
2019-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",64997,235911.37,0,0
2019-04-01,Y56,"LONDON COMMISSIONING REGION",66201,195094.05,0,0
2019-04-01,Y62,"NORTH WEST COMMISSIONING REGION",73344,227271.07,0,0
2019-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",85244,629800.02,0,0
2019-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",96498,467849.38,0,0
2019-04-01,Y60,"MIDLANDS COMMISSIONING REGION",107961,372777.4,0,0
2019-05-01,Y58,"SOUTH WEST COMMISSIONING REGION",66481,402340.66,0,0
2019-05-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",68514,268770.43,0,0
2019-05-01,Y56,"LONDON COMMISSIONING REGION",70407,231173.23,0,0
2019-05-01,Y62,"NORTH WEST COMMISSIONING REGION",77804,250109.7,0,0
2019-05-01,Y59,"SOUTH EAST COMMISSIONING REGION",90029,708217.72,0,0
2019-05-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",102964,558730.91,0,0
2019-05-01,Y60,"MIDLANDS COMMISSIONING REGION",114741,440140.15,0,0
2019-06-01,Y58,"SOUTH WEST COMMISSIONING REGION",61671,392436.75,0,0
2019-06-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",63635,255315.62,0,0
2019-06-01,Y56,"LONDON COMMISSIONING REGION",64895,213514.18,0,0
2019-06-01,Y62,"NORTH WEST COMMISSIONING REGION",71074,241833.35,0,0
2019-06-01,Y59,"SOUTH EAST COMMISSIONING REGION",83041,670296.37,0,0
2019-06-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",95005,531765.06,0,0
2019-06-01,Y60,"MIDLANDS COMMISSIONING REGION",106462,398079.71,0,0
2019-07-01,Y58,"SOUTH WEST COMMISSIONING REGION",61620,391707.6,0,0
2019-07-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",65995,259533.19,0,0
2019-07-01,Y56,"LONDON COMMISSIONING REGION",68636,219566.28,0,0
2019-07-01,Y62,"NORTH WEST COMMISSIONING REGION",74537,252306.63,0,0
2019-07-01,Y59,"SOUTH EAST COMMISSIONING REGION",84660,694811.46,0,0
2019-07-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",96350,550367.16,0,0
2019-07-01,Y60,"MIDLANDS COMMISSIONING REGION",109325,408396.05,0,0
2019-08-01,Y56,"LONDON COMMISSIONING REGION",67430,237870.05,0,0
2019-08-01,Y58,"SOUTH WEST COMMISSIONING REGION",68308,432783.85,0,0
2019-08-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",69172,288438.04,0,0
