date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2018-11-01,Y56,"LONDON COMMISSIONING REGION",139,25375.08,0,0
2018-11-01,Y62,"NORTH WEST COMMISSIONING REGION",295,52287.76,0,0
2018-11-01,Y60,"MIDLANDS COMMISSIONING REGION",388,78417.55,0,0
2018-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",390,68507.29,0,0
2018-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",785,136726.7,0,0
2018-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",997,184610.1,0,0
2018-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",1906,348484.81,0,0
2018-12-01,Y56,"LONDON COMMISSIONING REGION",122,21801.35,0,0
2018-12-01,Y62,"NORTH WEST COMMISSIONING REGION",279,49199.33,0,0
2018-12-01,Y60,"MIDLANDS COMMISSIONING REGION",316,66908.06,0,0
2018-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",375,65440.39,0,0
2018-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",704,122117.36,0,0
2018-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",888,163682.5,0,0
2018-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",1729,319170.35,0,0
2019-01-01,Y56,"LONDON COMMISSIONING REGION",141,26563.59,0,0
2019-01-01,Y62,"NORTH WEST COMMISSIONING REGION",298,53661.27,0,0
2019-01-01,Y60,"MIDLANDS COMMISSIONING REGION",379,78915.29,0,0
2019-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",412,71626.81,0,0
2019-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",801,139527.84,0,0
2019-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",1091,201781.75,0,0
2019-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",2052,376425.66,0,0
2019-02-01,Y56,"LONDON COMMISSIONING REGION",114,20697.56,0,0
2019-02-01,Y62,"NORTH WEST COMMISSIONING REGION",269,47898.15,0,0
2019-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",297,52071.21,0,0
2019-02-01,Y60,"MIDLANDS COMMISSIONING REGION",326,66952.91,0,0
2019-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",640,111763.83,0,0
2019-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",844,158437.47,0,0
2019-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",1671,304301.37,0,0
2019-03-01,Y56,"LONDON COMMISSIONING REGION",118,20880.79,0,0
2019-03-01,Y62,"NORTH WEST COMMISSIONING REGION",332,58632.03,0,0
2019-03-01,Y60,"MIDLANDS COMMISSIONING REGION",341,70197.05,0,0
2019-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",360,63331.1,0,0
2019-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",653,114466.93,0,0
2019-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",985,182072.8,0,0
2019-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",1916,347694.43,0,0
2019-04-01,Y56,"LONDON COMMISSIONING REGION",143,25419.16,0,0
2019-04-01,Y62,"NORTH WEST COMMISSIONING REGION",310,55649.56,0,0
2019-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",333,58728.55,0,0
2019-04-01,Y60,"MIDLANDS COMMISSIONING REGION",339,69766.04,0,0
2019-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",661,115535.25,0,0
2019-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",912,166730.53,0,0
2019-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",1847,334071.32,0,0
2019-05-01,Y56,"LONDON COMMISSIONING REGION",146,26067.16,0,0
2019-05-01,Y62,"NORTH WEST COMMISSIONING REGION",281,50518.63,0,0
2019-05-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",363,64494.15,0,0
2019-05-01,Y60,"MIDLANDS COMMISSIONING REGION",370,75701.68,0,0
2019-05-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",739,129755.59,0,0
2019-05-01,Y58,"SOUTH WEST COMMISSIONING REGION",959,176717.22,0,0
2019-05-01,Y59,"SOUTH EAST COMMISSIONING REGION",1926,350788.97,0,0
2019-06-01,Y56,"LONDON COMMISSIONING REGION",123,22176.72,0,0
2019-06-01,Y60,"MIDLANDS COMMISSIONING REGION",317,63945.14,0,0
2019-06-01,Y62,"NORTH WEST COMMISSIONING REGION",340,60635.13,0,0
2019-06-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",349,62885.3,0,0
2019-06-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",741,129952.65,0,0
2019-06-01,Y58,"SOUTH WEST COMMISSIONING REGION",978,178594.28,0,0
2019-06-01,Y59,"SOUTH EAST COMMISSIONING REGION",1848,335482.51,0,0
2019-07-01,Y56,"LONDON COMMISSIONING REGION",129,23353.56,0,0
2019-07-01,Y60,"MIDLANDS COMMISSIONING REGION",308,62578.42,0,0
2019-07-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",342,60209.33,0,0
2019-07-01,Y62,"NORTH WEST COMMISSIONING REGION",345,61790.74,0,0
2019-07-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",702,124070.37,0,0
2019-07-01,Y58,"SOUTH WEST COMMISSIONING REGION",942,173938.55,0,0
2019-07-01,Y59,"SOUTH EAST COMMISSIONING REGION",1953,353805.91,0,0
2019-08-01,Y56,"LONDON COMMISSIONING REGION",112,19930.84,0,0
2019-08-01,Y60,"MIDLANDS COMMISSIONING REGION",306,62040.83,0,0
2019-08-01,Y62,"NORTH WEST COMMISSIONING REGION",318,56152.2,0,0
2019-08-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",326,57810.16,0,0
2019-08-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",708,124214.85,0,0
2019-08-01,Y58,"SOUTH WEST COMMISSIONING REGION",912,166256.2,0,0
2019-08-01,Y59,"SOUTH EAST COMMISSIONING REGION",1843,332409.12,0,0
2019-09-01,Y56,"LONDON COMMISSIONING REGION",141,25447.99,0,0
2019-09-01,Y60,"MIDLANDS COMMISSIONING REGION",313,63169.27,0,0
2019-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",342,60377.46,0,0
2019-09-01,Y62,"NORTH WEST COMMISSIONING REGION",358,63516.83,0,0
2019-09-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",643,112677.94,0,0
2019-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",905,164261.05,0,0
2019-09-01,Y59,"SOUTH EAST COMMISSIONING REGION",1828,327984.77,0,0
2019-10-01,Y56,"LONDON COMMISSIONING REGION",146,25878.93,0,0
2019-10-01,Y60,"MIDLANDS COMMISSIONING REGION",329,66800.73,0,0
2019-10-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",347,60972.85,0,0
2019-10-01,Y62,"NORTH WEST COMMISSIONING REGION",347,62494.86,0,0
2019-10-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",768,133843.91,0,0
2019-10-01,Y58,"SOUTH WEST COMMISSIONING REGION",944,174506.95,0,0
2019-10-01,Y59,"SOUTH EAST COMMISSIONING REGION",2170,388939.09,0,0
2019-11-01,Y56,"LONDON COMMISSIONING REGION",131,23291.19,0,0
2019-11-01,Y60,"MIDLANDS COMMISSIONING REGION",302,61495.6,0,0
2019-11-01,Y62,"NORTH WEST COMMISSIONING REGION",314,55287.95,0,0
2019-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",347,61170.24,0,0
2019-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",678,118848.36,0,0
2019-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",907,165417.15,0,0
2019-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",1955,351230.33,0,0
2019-12-01,Y56,"LONDON COMMISSIONING REGION",104,18726.78,0,0
2019-12-01,Y60,"MIDLANDS COMMISSIONING REGION",289,57856.83,0,0
2019-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",303,53426.66,0,0
2019-12-01,Y62,"NORTH WEST COMMISSIONING REGION",308,55126.13,0,0
2019-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",680,120121,0,0
2019-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",858,155443.49,0,0
2019-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",1818,327003.18,0,0
2020-01-01,Y56,"LONDON COMMISSIONING REGION",121,21412.76,0,0
2020-01-01,Y60,"MIDLANDS COMMISSIONING REGION",292,57568.99,0,0
2020-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",353,63421.93,0,0
2020-01-01,Y62,"NORTH WEST COMMISSIONING REGION",364,66261.39,0,0
2020-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",748,131112.33,0,0
2020-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",925,169998.27,0,0
2020-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",2092,373161.7,0,0
2020-02-01,Y56,"LONDON COMMISSIONING REGION",131,23362.54,0,0
2020-02-01,Y62,"NORTH WEST COMMISSIONING REGION",303,54325.83,0,0
2020-02-01,Y60,"MIDLANDS COMMISSIONING REGION",306,59620.85,0,0
2020-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",314,55695.12,0,0
2020-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",616,109074.18,0,0
2020-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",834,151372.35,0,0
2020-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",1896,340848.33,0,0
2020-03-01,Y56,"LONDON COMMISSIONING REGION",123,21430.07,0,0
2020-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",257,45776.76,0,0
2020-03-01,Y60,"MIDLANDS COMMISSIONING REGION",288,57334.83,0,0
2020-03-01,Y62,"NORTH WEST COMMISSIONING REGION",296,52837.45,0,0
2020-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",565,99345.39,0,0
2020-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",816,148926.01,0,0
