date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2018-11-01,Y56,"LONDON COMMISSIONING REGION",0,0,0,0
2018-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",0,0,0,0
2018-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",0,0,0,0
2018-11-01,Y60,"MIDLANDS COMMISSIONING REGION",0,0,0,0
2018-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",0,0,0,0
2018-11-01,Y62,"NORTH WEST COMMISSIONING REGION",0,0,0,0
2018-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",0,0,0,0
2018-12-01,Y56,"LONDON COMMISSIONING REGION",0,0,0,0
2018-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",0,0,0,0
2018-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",0,0,0,0
2018-12-01,Y60,"MIDLANDS COMMISSIONING REGION",0,0,0,0
2018-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",0,0,0,0
2018-12-01,Y62,"NORTH WEST COMMISSIONING REGION",0,0,0,0
2018-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",0,0,0,0
2019-01-01,Y56,"LONDON COMMISSIONING REGION",0,0,0,0
2019-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",0,0,0,0
2019-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",0,0,0,0
2019-01-01,Y60,"MIDLANDS COMMISSIONING REGION",0,0,0,0
2019-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",0,0,0,0
2019-01-01,Y62,"NORTH WEST COMMISSIONING REGION",0,0,0,0
2019-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",0,0,0,0
2019-02-01,Y56,"LONDON COMMISSIONING REGION",0,0,0,0
2019-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",0,0,0,0
2019-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",0,0,0,0
2019-02-01,Y60,"MIDLANDS COMMISSIONING REGION",0,0,0,0
2019-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",0,0,0,0
2019-02-01,Y62,"NORTH WEST COMMISSIONING REGION",0,0,0,0
2019-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",0,0,0,0
2019-03-01,Y56,"LONDON COMMISSIONING REGION",0,0,0,0
2019-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",0,0,0,0
2019-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",0,0,0,0
2019-03-01,Y60,"MIDLANDS COMMISSIONING REGION",0,0,0,0
2019-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",0,0,0,0
2019-03-01,Y62,"NORTH WEST COMMISSIONING REGION",0,0,0,0
2019-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",0,0,0,0
2019-04-01,Y56,"LONDON COMMISSIONING REGION",0,0,0,0
2019-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",0,0,0,0
2019-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",0,0,0,0
2019-04-01,Y60,"MIDLANDS COMMISSIONING REGION",0,0,0,0
2019-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",0,0,0,0
