age,2024,2025,2026,2027,2028,2029,2030
  0-4,"1,443","1,428","1,424","1,423","1,423","1,422","1,419"
  5-9,"1,671","1,643","1,600","1,558","1,522","1,496","1,479"
 10-14,"1,767","1,768","1,764","1,744","1,726","1,705","1,677"
 15-19,"1,690","1,729","1,761","1,794","1,805","1,812","1,811"
 20-24,"1,643","1,654","1,680","1,718","1,763","1,799","1,836"
 25-29,"1,808","1,800","1,787","1,760","1,744","1,738","1,746"
 30-34,"1,904","1,889","1,869","1,857","1,850","1,842","1,832"
 35-39,"1,925","1,928","1,938","1,942","1,926","1,918","1,903"
 40-44,"1,890","1,894","1,898","1,905","1,919","1,929","1,932"
 45-49,"1,719","1,753","1,794","1,839","1,879","1,892","1,895"
 50-54,"1,877","1,838","1,783","1,735","1,708","1,719","1,753"
 55-59,"1,965","1,950","1,946","1,930","1,903","1,862","1,824"
 60-64,"1,833","1,881","1,913","1,931","1,936","1,933","1,918"
 65-69,"1,539","1,583","1,632","1,682","1,730","1,780","1,826"
 70-74,"1,371","1,366","1,377","1,401","1,431","1,464","1,506"
 75-79,"1,318","1,338","1,345","1,287","1,260","1,252","1,248"
 80-84,870,904,948,"1,040","1,090","1,113","1,130"
 85-89,569,576,573,581,601,628,655
 90-94,272,276,281,288,297,304,309
 95-99,81,83,85,87,87,88,91
 100 & over,12,12,12,12,12,13,13
