date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2018-11-01,Y56,"LONDON COMMISSIONING REGION",885,3723.31,0,0
2018-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1301,5303.6,0,0
2018-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",1733,5303.45,0,0
2018-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",1767,8699.44,0,0
2018-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",2521,25814.77,0,0
2018-11-01,Y62,"NORTH WEST COMMISSIONING REGION",2525,4786.74,0,0
2018-11-01,Y60,"MIDLANDS COMMISSIONING REGION",2556,10924.53,0,0
2018-12-01,Y56,"LONDON COMMISSIONING REGION",876,9497.47,0,0
2018-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1258,11823.2,0,0
2018-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",1725,14035.67,0,0
2018-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",1746,20135.63,0,0
2018-12-01,Y62,"NORTH WEST COMMISSIONING REGION",2472,7815.95,0,0
2018-12-01,Y60,"MIDLANDS COMMISSIONING REGION",2510,24706.92,0,0
2018-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",2564,68866.84,0,0
2019-01-01,Y56,"LONDON COMMISSIONING REGION",812,10318.29,0,0
2019-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1280,12716.45,0,0
2019-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",1648,13581.69,0,0
2019-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",1819,21728.09,0,0
2019-01-01,Y62,"NORTH WEST COMMISSIONING REGION",2450,7321.71,0,0
2019-01-01,Y60,"MIDLANDS COMMISSIONING REGION",2537,28602.07,0,0
2019-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",2614,76642.88,0,0
2019-02-01,Y56,"LONDON COMMISSIONING REGION",795,12150.03,0,0
2019-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1155,14377.05,0,0
2019-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",1506,16229.12,0,0
2019-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",1555,22430.83,0,0
2019-02-01,Y60,"MIDLANDS COMMISSIONING REGION",2238,30708.91,0,0
2019-02-01,Y62,"NORTH WEST COMMISSIONING REGION",2267,7644.68,0,0
2019-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",2515,93588.12,0,0
2019-03-01,Y56,"LONDON COMMISSIONING REGION",819,32943.8,0,0
2019-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1237,36101.17,0,0
2019-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",1645,49179.15,0,0
2019-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",1649,57320.85,0,0
2019-03-01,Y62,"NORTH WEST COMMISSIONING REGION",2412,55151.61,0,0
2019-03-01,Y60,"MIDLANDS COMMISSIONING REGION",2450,74531.99,0,0
2019-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",2650,122862.27,0,0
2019-04-01,Y56,"LONDON COMMISSIONING REGION",802,24757.8,0,0
2019-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1223,28995.6,0,0
2019-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",1593,39234.4,0,0
2019-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",1701,48647,0,0
2019-04-01,Y60,"MIDLANDS COMMISSIONING REGION",2412,61024.68,0,0
2019-04-01,Y62,"NORTH WEST COMMISSIONING REGION",2424,42115.36,0,0
2019-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",2615,111728.06,0,0
2019-05-01,Y56,"LONDON COMMISSIONING REGION",906,24697.68,0,0
2019-05-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",1273,26575.33,0,0
2019-05-01,Y58,"SOUTH WEST COMMISSIONING REGION",1704,36164.37,0,0
