date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2018-11-01,Y56,"LONDON COMMISSIONING REGION",4769,8897.53,0,0
2018-11-01,Y62,"NORTH WEST COMMISSIONING REGION",5274,8213.58,0,0
2018-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",5479,8618.71,0,0
2018-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",7023,8353.09,0,0
2018-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",8860,13126.11,0,0
2018-11-01,Y60,"MIDLANDS COMMISSIONING REGION",9297,13713.83,0,0
2018-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",13707,17318.89,0,0
2018-12-01,Y56,"LONDON COMMISSIONING REGION",4706,8630.19,0,0
2018-12-01,Y62,"NORTH WEST COMMISSIONING REGION",5158,8765.34,0,0
2018-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",5337,8019.67,0,0
2018-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",7083,9267.16,0,0
2018-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",8825,13806.33,0,0
2018-12-01,Y60,"MIDLANDS COMMISSIONING REGION",9162,13280.2,0,0
2018-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",13450,16848.55,0,0
2019-01-01,Y56,"LONDON COMMISSIONING REGION",4820,9082.65,0,0
2019-01-01,Y62,"NORTH WEST COMMISSIONING REGION",5191,7236.44,0,0
2019-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",5486,8067.9,0,0
2019-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",7217,8880.66,0,0
2019-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",8891,12564.07,0,0
2019-01-01,Y60,"MIDLANDS COMMISSIONING REGION",9161,13179.16,0,0
2019-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",13851,16458.38,0,0
2019-02-01,Y56,"LONDON COMMISSIONING REGION",4213,7390.03,0,0
2019-02-01,Y62,"NORTH WEST COMMISSIONING REGION",4731,7311.92,0,0
2019-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",4917,6940.17,0,0
2019-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",6407,8377.2,0,0
2019-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",8032,12040.41,0,0
2019-02-01,Y60,"MIDLANDS COMMISSIONING REGION",8245,11456.19,0,0
2019-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",12672,15195,0,0
2019-03-01,Y56,"LONDON COMMISSIONING REGION",4580,46036.09,0,0
2019-03-01,Y62,"NORTH WEST COMMISSIONING REGION",5038,41815.54,0,0
2019-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",5308,43966,0,0
2019-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",6901,57413.87,0,0
2019-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",8639,79080.28,0,0
2019-03-01,Y60,"MIDLANDS COMMISSIONING REGION",8677,75059.13,0,0
2019-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",13274,108862.53,0,0
2019-04-01,Y56,"LONDON COMMISSIONING REGION",4555,43809.64,0,0
2019-04-01,Y62,"NORTH WEST COMMISSIONING REGION",5014,40131.13,0,0
2019-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",5131,41515.55,0,0
2019-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",6657,54677.67,0,0
2019-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",8409,74093.02,0,0
2019-04-01,Y60,"MIDLANDS COMMISSIONING REGION",8538,70831.01,0,0
2019-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",12789,101681.9,0,0
2019-05-01,Y56,"LONDON COMMISSIONING REGION",4878,73352.54,0,0
2019-05-01,Y62,"NORTH WEST COMMISSIONING REGION",5296,65970.45,0,0
2019-05-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",5367,67262.54,0,0
2019-05-01,Y58,"SOUTH WEST COMMISSIONING REGION",7048,88196.34,0,0
2019-05-01,Y59,"SOUTH EAST COMMISSIONING REGION",8952,124354.5,0,0
2019-05-01,Y60,"MIDLANDS COMMISSIONING REGION",9142,118674.86,0,0
2019-05-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",13760,171198.83,0,0
2019-06-01,Y56,"LONDON COMMISSIONING REGION",4509,69858.38,0,0
2019-06-01,Y62,"NORTH WEST COMMISSIONING REGION",4827,61999.27,0,0
2019-06-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",5047,64491.44,0,0
2019-06-01,Y58,"SOUTH WEST COMMISSIONING REGION",6689,86133.05,0,0
2019-06-01,Y59,"SOUTH EAST COMMISSIONING REGION",8202,114720.98,0,0
2019-06-01,Y60,"MIDLANDS COMMISSIONING REGION",8508,112667.36,0,0
2019-06-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",12700,163053.48,0,0
2019-07-01,Y56,"LONDON COMMISSIONING REGION",4495,66272.79,0,0
2019-07-01,Y62,"NORTH WEST COMMISSIONING REGION",4900,61063.65,0,0
