date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2018-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",7,175.97,0,0
2018-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",8,207.49,0,0
2018-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",9,151.26,0,0
2018-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",10,267.91,0,0
2018-11-01,Y62,"NORTH WEST COMMISSIONING REGION",10,276.51,0,0
2018-11-01,Y60,"MIDLANDS COMMISSIONING REGION",15,452.44,0,0
2018-11-01,Y56,"LONDON COMMISSIONING REGION",37,981.52,0,0
2018-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",4,100.6,0,0
2018-12-01,Y60,"MIDLANDS COMMISSIONING REGION",4,125.73,0,0
2018-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",8,326.87,0,0
2018-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",8,326.86,0,0
2018-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",10,251.88,0,0
2018-12-01,Y62,"NORTH WEST COMMISSIONING REGION",18,452.7,0,0
2018-12-01,Y56,"LONDON COMMISSIONING REGION",22,804.61,0,0
2019-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",2,50.3,0,0
2019-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",5,201.14,0,0
2019-01-01,Y60,"MIDLANDS COMMISSIONING REGION",5,172.12,0,0
2019-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",8,126.16,0,0
2019-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",9,371.25,0,0
2019-01-01,Y62,"NORTH WEST COMMISSIONING REGION",10,293.97,0,0
2019-01-01,Y56,"LONDON COMMISSIONING REGION",25,826.27,0,0
2019-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",1,25.16,0,0
2019-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",3,121.89,0,0
2019-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",3,75.48,0,0
2019-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",6,340.47,0,0
2019-02-01,Y60,"MIDLANDS COMMISSIONING REGION",11,300.52,0,0
2019-02-01,Y62,"NORTH WEST COMMISSIONING REGION",12,454.6,0,0
2019-02-01,Y56,"LONDON COMMISSIONING REGION",19,874.25,0,0
2019-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",1,25.17,0,0
2019-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",9,361.92,0,0
2019-03-01,Y60,"MIDLANDS COMMISSIONING REGION",9,275.01,0,0
2019-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",9,406.16,0,0
2019-03-01,Y62,"NORTH WEST COMMISSIONING REGION",13,563.78,0,0
2019-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",13,495.53,0,0
2019-03-01,Y56,"LONDON COMMISSIONING REGION",22,928.98,0,0
2019-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",0,0,0,0
2019-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",7,307.7,0,0
2019-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",9,332.87,0,0
2019-04-01,Y62,"NORTH WEST COMMISSIONING REGION",11,514.73,0,0
2019-04-01,Y60,"MIDLANDS COMMISSIONING REGION",17,805.03,0,0
2019-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",18,876.64,0,0
2019-04-01,Y56,"LONDON COMMISSIONING REGION",22,1095.34,0,0
2019-05-01,Y58,"SOUTH WEST COMMISSIONING REGION",3,185.65,0,0
2019-05-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",4,143.15,0,0
2019-05-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",13,615.11,0,0
2019-05-01,Y62,"NORTH WEST COMMISSIONING REGION",13,607.32,0,0
2019-05-01,Y60,"MIDLANDS COMMISSIONING REGION",15,572.62,0,0
2019-05-01,Y59,"SOUTH EAST COMMISSIONING REGION",24,1301.75,0,0
2019-05-01,Y56,"LONDON COMMISSIONING REGION",32,1140.21,0,0
2019-06-01,Y58,"SOUTH WEST COMMISSIONING REGION",5,193.13,0,0
2019-06-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",10,522.61,0,0
2019-06-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",11,451.04,0,0
2019-06-01,Y60,"MIDLANDS COMMISSIONING REGION",17,691.1,0,0
2019-06-01,Y62,"NORTH WEST COMMISSIONING REGION",20,843.92,0,0
2019-06-01,Y59,"SOUTH EAST COMMISSIONING REGION",23,888.58,0,0
2019-06-01,Y56,"LONDON COMMISSIONING REGION",26,1366.9,0,0
2019-07-01,Y58,"SOUTH WEST COMMISSIONING REGION",9,500.02,0,0
2019-07-01,Y62,"NORTH WEST COMMISSIONING REGION",10,468.52,0,0
2019-07-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",12,526.7,0,0
2019-07-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",12,569.24,0,0
2019-07-01,Y60,"MIDLANDS COMMISSIONING REGION",18,644.17,0,0
2019-07-01,Y56,"LONDON COMMISSIONING REGION",25,1200.93,0,0
2019-07-01,Y59,"SOUTH EAST COMMISSIONING REGION",29,1357.33,0,0
2019-08-01,Y58,"SOUTH WEST COMMISSIONING REGION",6,771.4,0,0
2019-08-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",7,543.33,0,0
2019-08-01,Y60,"MIDLANDS COMMISSIONING REGION",13,1011.2,0,0
2019-08-01,Y62,"NORTH WEST COMMISSIONING REGION",13,1720.6,0,0
2019-08-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",14,1227.73,0,0
2019-08-01,Y56,"LONDON COMMISSIONING REGION",23,2440.38,0,0
2019-08-01,Y59,"SOUTH EAST COMMISSIONING REGION",23,2896.12,0,0
2019-09-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",8,1049.81,0,0
2019-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",10,1303.09,0,0
2019-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",12,1770.99,0,0
2019-09-01,Y62,"NORTH WEST COMMISSIONING REGION",15,2024.26,0,0
2019-09-01,Y60,"MIDLANDS COMMISSIONING REGION",18,2213.78,0,0
2019-09-01,Y59,"SOUTH EAST COMMISSIONING REGION",24,2224.72,0,0
2019-09-01,Y56,"LONDON COMMISSIONING REGION",51,5505.05,0,0
2019-10-01,Y58,"SOUTH WEST COMMISSIONING REGION",7,1113.66,0,0
2019-10-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",7,1392.06,0,0
2019-10-01,Y62,"NORTH WEST COMMISSIONING REGION",10,1531.3,0,0
2019-10-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",18,2804.06,0,0
2019-10-01,Y56,"LONDON COMMISSIONING REGION",27,5273.02,0,0
2019-10-01,Y59,"SOUTH EAST COMMISSIONING REGION",30,6264.37,0,0
2019-10-01,Y60,"MIDLANDS COMMISSIONING REGION",32,5315.11,0,0
2019-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",7,1393.26,0,0
2019-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",8,1532.58,0,0
2019-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",19,3493.13,0,0
2019-11-01,Y62,"NORTH WEST COMMISSIONING REGION",19,2935.96,0,0
2019-11-01,Y60,"MIDLANDS COMMISSIONING REGION",21,2816.56,0,0
2019-11-01,Y56,"LONDON COMMISSIONING REGION",27,6409.4,0,0
2019-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",31,5991.04,0,0
2019-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",4,696.76,0,0
2019-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",8,1114.86,0,0
2019-12-01,Y56,"LONDON COMMISSIONING REGION",15,2682.68,0,0
2019-12-01,Y62,"NORTH WEST COMMISSIONING REGION",17,2518.47,0,0
2019-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",19,3065.82,0,0
2019-12-01,Y60,"MIDLANDS COMMISSIONING REGION",26,4937.23,0,0
2019-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",28,5295.43,0,0
2020-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",10,1533.38,0,0
2020-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",11,2090.93,0,0
2020-01-01,Y62,"NORTH WEST COMMISSIONING REGION",15,2393.78,0,0
2020-01-01,Y60,"MIDLANDS COMMISSIONING REGION",20,2788,0,0
2020-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",21,4042.52,0,0
2020-01-01,Y56,"LONDON COMMISSIONING REGION",28,7109.15,0,0
2020-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",37,6830.47,0,0
2020-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",10,1674.56,0,0
2020-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",11,1953.65,0,0
2020-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",20,3349.14,0,0
2020-02-01,Y62,"NORTH WEST COMMISSIONING REGION",21,2930.54,0,0
2020-02-01,Y56,"LONDON COMMISSIONING REGION",24,4677.05,0,0
2020-02-01,Y60,"MIDLANDS COMMISSIONING REGION",26,4186.44,0,0
2020-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",27,5581.82,0,0
2020-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",7,1392.56,0,0
2020-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",7,974.81,0,0
2020-03-01,Y62,"NORTH WEST COMMISSIONING REGION",14,2088.92,0,0
2020-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",18,2934.36,0,0
2020-03-01,Y56,"LONDON COMMISSIONING REGION",26,6858.52,0,0
2020-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",29,5152.59,0,0
2020-03-01,Y60,"MIDLANDS COMMISSIONING REGION",29,4456.35,0,0
2020-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",9,1254.26,0,0
2020-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",14,2299.61,0,0
2020-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",15,2543.52,0,0
2020-04-01,Y62,"NORTH WEST COMMISSIONING REGION",18,2647.96,0,0
2020-04-01,Y60,"MIDLANDS COMMISSIONING REGION",22,4380.12,0,0
