date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2018-11-01,09W,"NHS MEDWAY",0,0,0,0
2018-11-01,02Q,"NHS BASSETLAW",1091,2343.48,0,0
2018-11-01,04Y,"NHS CANNOCK CHASE",1252,1801.79,0,0
2018-11-01,01F,"NHS HALTON",1317,1893.45,0,0
2018-11-01,00Q,"NHS BLACKBURN WITH DARWEN",1319,2316.21,0,0
2018-11-01,02G,"NHS WEST LANCASHIRE",1333,2887.8,0,0
2018-11-01,05D,"NHS EAST STAFFORDSHIRE",1460,6771.49,0,0
2018-11-01,99G,"NHS SOUTHEND",1545,6298.64,0,0
2018-11-01,05V,"NHS STAFFORD AND SURROUNDS",1560,2251.22,0,0
2018-11-01,00V,"NHS BURY",1653,3599.32,0,0
2018-11-01,07G,"NHS THURROCK",1658,2744.65,0,0
2018-11-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",1675,3496.54,0,0
2018-11-01,99F,"NHS CASTLE POINT AND ROCHFORD",1769,7172.17,0,0
2018-11-01,01V,"NHS SOUTHPORT AND FORMBY",1777,6216.36,0,0
2018-11-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",1797,3381.4,0,0
2018-11-01,01T,"NHS SOUTH SEFTON",1862,2808.88,0,0
2018-11-01,02E,"NHS WARRINGTON",1865,3276.78,0,0
2018-11-01,01J,"NHS KNOWSLEY",1876,2543.39,0,0
2018-11-01,10R,"NHS PORTSMOUTH",1916,22420.87,0,0
2018-11-01,01E,"NHS GREATER PRESTON",1920,3757.75,0,0
2018-11-01,00N,"NHS SOUTH TYNESIDE",1923,8540.71,0,0
2018-11-01,03H,"NHS NORTH EAST LINCOLNSHIRE",1941,2133.38,0,0
2018-11-01,03K,"NHS NORTH LINCOLNSHIRE",2066,2386.79,0,0
2018-11-01,00R,"NHS BLACKPOOL",2195,3666.93,0,0
2018-11-01,05Q,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA",2264,4936.83,0,0
2018-11-01,01Y,"NHS TAMESIDE AND GLOSSOP",2345,3979.49,0,0
2018-11-01,05G,"NHS NORTH STAFFORDSHIRE",2364,2793.18,0,0
2018-11-01,00Y,"NHS OLDHAM",2421,12150.12,0,0
2018-11-01,02T,"NHS CALDERDALE",2458,7515.34,0,0
2018-11-01,09D,"NHS BRIGHTON AND HOVE",2498,17150.19,0,0
2018-11-01,99E,"NHS BASILDON AND BRENTWOOD",2524,6972.35,0,0
2018-11-01,03F,"NHS HULL",2566,4340.75,0,0
2018-11-01,02M,"NHS FYLDE AND WYRE",2609,5284.1,0,0
2018-11-01,02A,"NHS TRAFFORD",2711,6324.56,0,0
2018-11-01,00T,"NHS BOLTON",2775,6062.18,0,0
