"","date","strontium","clodronate","ibandronic_acid","etidronate","risedronate","alendronic_acid"
"1",2018-11-01,96,776,13288,0,54409,506598
"2",2018-12-01,74,782,13151,0,53721,500534
"3",2019-01-01,64,814,13160,0,54617,507174
"4",2019-02-01,55,711,12031,0,49217,458220
"5",2019-03-01,76,755,12862,0,52417,491184
"6",2019-04-01,84,731,12770,0,51093,484435
"7",2019-05-01,104,788,13598,0,54443,513620
"8",2019-06-01,112,709,12477,0,50482,474050
"9",2019-07-01,115,737,13084,0,49787,489204
"10",2019-08-01,99,777,13989,0,54310,516706
"11",2019-09-01,138,697,12815,0,49955,479109
"12",2019-10-01,131,782,13782,0,53210,509077
"13",2019-11-01,132,694,13230,1,50873,485228
"14",2019-12-01,117,702,13422,0,51743,492600
"15",2020-01-01,142,752,13615,0,52004,498875
"16",2020-02-01,139,624,12487,0,47516,453159
"17",2020-03-01,130,711,14652,0,53371,507826
"18",2020-04-01,137,791,13776,0,51892,494615
"19",2020-05-01,130,760,13095,0,48879,462746
"20",2020-06-01,133,772,13581,0,50303,475450
"21",2020-07-01,135,794,14086,0,52432,489856
"22",2020-08-01,147,718,12823,0,47327,444573
"23",2020-09-01,150,782,13704,0,50588,471457
"24",2020-10-01,165,733,13940,1,51521,479618
"25",2020-11-01,130,675,13419,0,49657,460111
"26",2020-12-01,145,700,14386,1,53569,493027
"27",2021-01-01,145,679,13345,0,49138,457264
"28",2021-02-01,132,577,12575,0,46562,427692
"29",2021-03-01,130,656,14152,0,51998,476949
"30",2021-04-01,139,660,13587,0,49853,460604
"31",2021-05-01,125,607,13022,2,48447,438072
"32",2021-06-01,130,642,13833,0,51388,466560
"33",2021-07-01,139,660,13970,0,51170,465690
"34",2021-08-01,127,632,13221,0,49801,445820
"35",2021-09-01,140,639,13786,0,51601,462670
"36",2021-10-01,132,604,13124,0,49317,442473
"37",2021-11-01,131,633,13967,0,51400,456550
"38",2021-12-01,148,626,14373,0,53864,479401
"39",2022-01-01,145,606,13422,0,50708,445061
"40",2022-02-01,121,536,12647,0,47283,417238
"41",2022-03-01,143,617,13934,0,53072,468936
"42",2022-04-01,157,589,13372,0,50024,440622
"43",2022-05-01,137,594,13950,0,52133,456788
"44",2022-06-01,134,534,13313,0,50290,429652
"45",2022-07-01,145,579,14885,0,74436,401666
"46",2022-08-01,148,537,16411,0,78621,445373
"47",2022-09-01,130,566,15281,0,68354,431007
"48",2022-10-01,141,580,14988,0,65924,426046
"49",2022-11-01,131,559,15358,0,66677,433518
"50",2022-12-01,126,547,15109,0,67514,433250
"51",2023-01-01,137,571,15271,0,66204,426571
"52",2023-02-01,119,511,13955,0,60396,391984
"53",2023-03-01,111,530,15617,0,68497,445771
"54",2023-04-01,131,514,14123,0,61636,402036
"55",2023-05-01,126,523,14952,0,65448,428765
"56",2023-06-01,119,574,15090,0,66378,434942
"57",2023-07-01,129,534,14738,0,64055,424652
"58",2023-08-01,129,554,15095,0,66193,436218
"59",2023-09-01,124,514,14517,0,63791,425283
"60",2023-10-01,121,567,14600,0,65035,429099
